group	size	x	y
1	3.77495256679456	2.99034393431589	39.854
1	2.81752959891563	3.56001198214669	70.42
1	4.21534763388659	3.75930214419082	61.368
1	3.30738530196162	3.44042946825891	39.942
1	4.6823028563337	3.95414103732296	69.942
1	3.92773892052438	4.28952227118181	74.74
1	3.35883010353548	4.33439510979661	73.18
1	2.27950892517571	4.28355330216118	69.052
1	6.78065331571455	2.83057703533901	50.009
1	3.55146873679855	4.32180229370652	73.93
1	2.93810234903619	3.10649605993551	50.904
1	3.17115767732361	3.49920723172401	53.859
1	3.00525150732459	3.61559375851768	70.69
1	2.47294760069687	3.6581204004364	61.484
1	7.62786354665145	3.84700696024358	63.336
1	3.47313937237476	3.91509322206278	71.08
1	3.27100231058365	2.9069803921906	48.122
1	3.05390278674226	2.74788021332769	47.471
1	3.33123368435696	2.79551538938004	50.957
1	3.50275886324239	3.37437863193569	52.961
1	4.48548484907974	4.35981257488279	75.76
1	2.77063175237367	2.98079982845335	48.295
1	3.08771505335651	2.90195287418202	49.517
1	3.67563800029185	3.7072009317089	70.565
1	17.6768986129098	2.98336526243032	65.525
1	4.60908584439712	3.64321332010302	66.653
1	2.26630811903929	3.1028109193649	52.933
1	4.74142864293492	2.82849737175522	47.784
1	2.64909652040148	3.68837599182428	56.695
1	2.76219939922242	3.72121148153542	73.45
1	3.484260335973	3.41542580890366	53.983
1	3.03424709425573	4.12129130087923	70.46
1	3.54614785939364	3.86432819431492	73.717
1	3.58650134622955	4.18687806928202	70.96
1	3.11478970890582	4.33622031516927	74.63
1	2.24584538852936	3.4593122666122	48.812
1	3.20488288075916	3.45653188160191	63.727
1	3.4285778826052	3.85816357173594	64.342
1	5.34809965347092	3.54453058661607	56.006
1	3.04152748300283	3.61260842722936	56.604
1	2.23537399375144	2.96746623070101	43.662
1	2.79578083391078	2.72005659037713	43.89
1	5.05773227008067	2.76182319473139	44.916
1	3.08225896159662	4.26794941909068	74.55
1	5.65515693373644	4.30736546166243	74.89
1	2.41290394526583	4.17936108310694	56.564
1	2.40133080018853	2.92210736069778	45.58
1	6.38555349946942	4.34304471219246	73.8
1	3.66926372831297	2.94252025259964	53.744
1	3.54592980841083	4.18379412322395	75.24
1	3.24768999930063	3.68309161781108	58.137
1	3.06895971455489	2.93310767500262	42.891
1	2.43383016791639	2.92330825997355	39.327
1	3.12363592272201	3.30344652534648	51.461
1	2.94174191576335	3.49439962203649	60.909
1	3.13084013891224	4.16317719869737	75.45
1	3.61731900330316	4.09850495988616	69.39
1	2.20676133118674	4.36678905788829	76.99
1	15.1889551124763	2.93233347794306	56.596
1	8.13704274294612	3.18094921762256	56.159
1	5.25095323518833	3.88128960390397	59.62
1	3.86220102821974	4.16190401332754	62.038
1	2.91669428200334	4.10100158542625	73.1
1	2.96607999280574	4.18658991650744	74.45
1	5.72514078444485	4.21846942388565	74.98
1	2.74160239060727	3.78304924728399	71.21
1	7.39360056735734	4.28744576953352	77.11
1	2.74963032877773	3.61924112835474	63.739
1	4.07963098699815	3.12976263075549	58.766
1	4.07880766476577	3.6134745020876	69.1
1	5.10613579254344	3.74996363967246	67.123
1	2.59431066861673	4.49629344891365	71.309
1	2.86239989226431	3.88312288965326	66.983
1	2.57632538133042	2.90160166798988	55.078
1	2.68270056917233	2.75754752664772	44.852
1	2.89829277719576	4.23965666469638	62.155
1	3.49625735159604	3.11490397011402	48.969
1	3.25820082220534	2.80126916141876	45.642
1	3.87983778890241	3.69199652186561	68
1	3.30568069660364	2.79099835840843	43.916
1	2.61954100968995	3.17059909832327	53.599
1	2.47854951519115	3.56679535645849	66.711
1	6.19382905167012	3.98277524416916	67.405
1	2.64554687107615	3.30116094588944	57.489
1	2.35139549483512	4.05009300482744	74.101
1	4.22447786637378	3.43178504352554	59.65
1	3.75444347806453	2.66484066673129	42.795
1	4.91661028480848	2.62736585659273	58.056
1	2.50526560163112	3.62232807621186	58.968
1	3.96636222435866	2.85635005828879	49.594
1	3.87122298245092	4.33040282371374	76.05
1	2.87985577739482	4.24631168563251	73.84
1	2.84695407557589	3.54037179528928	59.298
1	3.25177537357514	2.95890876211224	42.598
1	6.23459819339054	3.19782446420713	45.826
1	2.9981495180865	4.41993321264512	75.97
1	2.55221033768872	4.11243041122876	62.728
1	6.73903809835229	3.15939567680982	56.158
1	2.69684781697387	3.84569333484153	70.472
1	2.90134634671613	3.62925701912801	66.874
1	4.10684491888088	3.80851492650228	61.406
1	5.62217670229543	3.41551984170779	62.082
1	4.9810594175828	3.92693538899242	71.32
1	3.5517337514795	4.0701798820755	72.77
1	2.88934850951294	4.01414190543257	73.75
1	2.33538959696257	3.72158140489893	69.885
1	4.34062914854242	3.98251156901606	69.66
1	3.156945602743	2.94525712122136	46.218
1	2.09736537394086	3.27651192139224	60.351
1	3.65850826886082	4.52754194088831	63.012
1	3.22304196049659	3.18140907159466	52.379
1	3.48482912000665	4.18130303219855	70.162
1	2.91461756713399	3.16584082156006	38.445
1	2.7980273392162	4.18096156423903	71.76
1	3.1070743363297	4.05494021661463	70.8
1	2.66527021462667	4.25204487391065	71.063
1	3.19057828731967	3.07070525448101	42.955
1	4.76345755590806	3.93289295216963	58.161
1	5.05256712613507	4.14383169147022	76.3
1	3.94208546622864	3.21697823350406	68.757
1	4.23375481320428	3.2777338865932	50.338
1	2.38071298077914	3.59055027810035	55.561
1	3.42508293205618	4.31528545095118	76.42
1	3.25480810811411	4.45328339812114	76.21
1	3.51575563090254	3.57540005623291	64.59
1	4.12867257290043	3.87077569262919	72.16
1	4.20482077036987	2.94163196835205	50.608
1	5.46159178242999	3.37898258381719	64.597
1	2.79693293585655	3.1285859858649	55.471
1	2.50949548677389	3.95997239000937	68.832
1	3.28058408336889	3.55147844259796	64.048
1	5.40799826092942	3.6275047619036	61.036
1	3.77893384587474	2.83395387358472	49.849
1	5.71867331793615	4.2608444243129	74.04
1	9.55223974141523	4.3981060362026	74.65
1	2.84325782655372	3.84012009275984	70.805
1	3.95536348256834	4.04736873145292	68.557
1	5.71214192901654	2.84956422796571	58.816
1	2.57931671055174	3.6370924868569	64.406
1	3.5356549680469	3.29612901240816	49.113
1	3.21827371303473	3.14881190625883	51.821
1	3.36441615893151	2.89699720519387	60.363
